County,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jeff Davis,47.9,40.1,39.6,37.2,58.4,72.1,55.9,52.5,49.9,47,47.8,42.4,41.5,44.1,51.9,45.9,46,34.4,28.6,30.2,32.4,26.3,24.7
Jefferson,43,36.7,38.1,41.9,36.7,42.1,29.2,43.4,41.2,42.1,26.3,29.7,38.5,45,45.9,40.1,29.6,31.2,27.5,27.5,21.9,18.4,19
Jenkins,47.4,45.5,40.6,39.4,58.6,61.3,37.7,41.7,52,33.3,39.6,45.7,38.4,21.7,50.3,34.4,33.3,36.1,14.6,25.4,36.5,25,11.7
Johnson,72.1,52.4,58,61.4,49.4,45.2,34.7,51.5,35.7,37.7,46.2,28.9,23.6,29.6,30,25.2,23,22.3,18.2,15.5,20.9,10.8,16.3
Jones,26.1,27.4,26.3,31.2,23.4,26.3,24.6,21.2,19.5,21.6,17,20.7,17.2,22.5,23.3,22.9,19.5,17.2,16.6,13.6,12.6,13.5,10.7
Lamar,37.6,34.6,36.1,37.5,39.8,26.9,26.1,25.5,18.3,18.4,23.4,24.7,22.7,22.8,25.7,31.4,17.8,20.2,23.2,12.3,14.3,10.9,10.3
Lanier,48.7,46.5,30.1,32.9,29.7,40.7,43.7,36.1,35.1,30.5,33.6,26.8,27.4,45.2,30.9,18.4,29.6,25.8,23.9,24.3,33.5,22.5,18.2
Laurens,40.4,43.3,43.2,44.5,40.5,31.2,36.6,42.5,34,31.1,30.3,29.7,34.1,39.6,29.3,26.9,34.8,29.9,24.9,22.9,21,19.2,21.1
Lee,18.1,20.6,22.4,25.2,23.2,25.4,17.9,17.8,14.5,10,15.7,18,17.2,19.7,22.8,21,13.6,12.6,13.6,12.5,13,7.3,11.5
Liberty,50.3,52.5,48.8,44.2,43.7,40.1,44.7,42.2,38.6,32.6,34.6,29.5,30.3,42,36.2,32.6,33,29.1,30,25,23.9,28.1,21.4
Lincoln,34.2,30.2,35.1,24.6,19,18.8,22.3,16.3,11.5,23,22,15.3,23.1,37.2,18.9,18.2,23.2,11.2,23.4,23.4,20.4,23.8,23.8
Long,34.2,55.3,57.9,35.5,43.6,38.3,39.1,46.7,27.8,17.5,35.8,30.6,13.5,19.2,21.3,17,15.1,22.9,22.3,18.5,15.5,16.2,12
Lowndes,35.8,37.1,36.5,32.8,31.6,36.9,29.7,31.6,26.7,30.6,29.3,27.2,30.7,32.9,31.8,28.5,26.2,21.5,18.3,17.7,15.7,14.2,14.3
Lumpkin,25.1,25,24.9,20.5,28.9,21.3,28.3,18.8,14.4,18.8,19,21.1,19.3,13.7,18.6,20.6,11.1,21.9,6.8,9.4,10.1,7.3,12.3
McDuffie,41.5,43.3,40.8,43.1,46.3,49.3,46.1,42.5,31.3,38.2,33.6,42.3,39.1,34.5,37.2,42,31.7,27.3,25,22.3,22.3,11.3,19.9
McIntosh,46.8,46.1,45.5,56.5,54.9,39.4,46.4,36.2,41.9,22.9,23.3,24.6,35,26,27.8,32.7,35.5,20.5,24.2,20,21.4,18.2,21.4
Macon,47.7,45.7,59.9,47.8,42.7,41.4,50.8,34.5,29.9,38.5,29.7,26.9,29.5,23.3,32.9,35.8,29.5,32,18.2,22.1,29,19.9,29
Madison,34,31.9,35.9,36,39.1,35.1,30.4,30.5,34.4,24,30.6,28.4,27.1,22.6,21.5,28.1,27.1,26.7,17.4,25.7,17.6,14.4,11.2
Marion,41.7,29.6,39.8,39.1,35.6,57,33.8,45.8,29.8,33.4,43.7,39.3,29.2,28.8,37.9,44.3,30.7,30.9,27.2,18.7,20.2,25.8,15.9
Meriwether,50.3,43.3,53.8,44.4,39.5,46.2,39.8,42.5,39.4,33.5,35.1,37.7,39.3,34.7,34.8,38.7,31.5,20,26.8,22.4,19.9,20.7,12.9
Miller,23.8,37,38.7,35.8,35.3,41.2,39.7,35,25.3,36.1,36.1,13.2,40,20.5,30,15.8,52.2,24.6,34.4,18.6,18.6,13.9,14.3
Mitchell,45.6,51.6,44.8,46.2,48.3,48,51.3,43.8,36.9,28.8,38.5,43.5,42.5,48.6,59.3,43.8,34.8,23.5,26.9,29.4,27.6,23.5,25.3
Monroe,43.7,22.7,28.3,25.1,32.4,34.5,36.6,27,22.5,20.3,22.3,17.2,19.8,19.5,22.2,21.9,16.8,20.1,13.6,10.4,13.8,10.8,12.7
Montgomery,37.9,30.4,53,33.5,29.1,38.4,43.2,40,30.4,37.8,34.3,17.5,19.7,29.5,25.8,31.2,27.1,27.9,22.4,18.4,18.3,14.5,24.5
Morgan,31.3,47,42.7,29.5,37.1,32.9,36.2,24.5,23.2,18.7,26.6,18,17.5,16.3,21.8,19.5,22.1,15.4,11.5,14.5,14.5,14.4,11.6
Murray,51.6,50.4,43,58.8,47.9,42.9,46.9,44.6,48.2,44.3,44.1,48.9,47.9,44.1,41.1,37.2,29.4,28.5,25.1,34.7,22.5,20.7,20.2
Muscogee,48.8,47.4,46,42.5,43.4,44,43.9,37.1,37,33.7,37.5,33.7,35.3,36.2,38.4,38.5,32.3,29.5,26.3,22.4,22.5,22.7,17.8
Newton,40.8,43,41.5,36.2,39.9,33.5,31.1,35.1,29.7,29.6,25.8,25.1,25.8,26.9,24.9,24.9,22.8,19.1,14.3,16,13.3,13.8,13
Oconee,13.7,14.6,10.7,13.4,11.3,10.7,14.7,8.2,8.3,13,5.4,6.9,11,8.2,5.8,7.9,7.1,5.2,3.7,3.3,2.5,1.7,2.4
Oglethorpe,25.7,25.2,38,26.3,33,32.5,31.7,36.6,29.1,25.8,27.4,30,19.8,17.7,18.6,24.3,21.5,16.4,25.2,22.4,15.9,17.1,15
Paulding,26.3,24.6,27.1,20.9,23.7,21.7,22.8,22.7,19.2,19.3,16,13.9,16.1,16.4,16.7,12.4,12,11.3,10.2,9.9,8,8.6,8
Peach,36.3,39.6,25.1,40.2,43.5,38.7,38,34.4,29.6,28,18.7,25.5,28.9,22.3,20.2,23,24.3,15.6,19.6,13.9,11.2,10.7,10.2
Pickens,34,33.6,28.5,31.9,32.5,40.1,37.2,34.8,29.6,29,28.7,23.5,36,36.8,23.9,20.8,25.5,20.2,19.1,13.7,21.6,19.8,15.1
Pierce,37.8,47.2,47.3,33.2,43.7,42.3,45.4,39.8,39.8,35.5,51.2,42.7,35.7,42.3,36.9,33.3,34.3,34,19.4,24.5,26.7,25.6,24.9
Pike,31.6,20.7,42,29.9,28.6,30.4,25.7,25.6,24.6,16,17,16.5,16.4,17.7,17.5,21.3,13.8,8.5,12.4,13.7,10.2,7.9,7.3
Polk,49.1,52.7,45.7,46.9,44.1,50.1,51.8,52.5,55.5,47.1,40.6,44.2,41.2,51.2,49.4,31.8,29.7,32.1,28.9,16.6,22.3,23.5,19.3
Pulaski,26.1,19.4,22.8,25.9,41.7,33.7,38.5,43.8,39.4,24,18.1,27.6,22.1,36.5,19.2,30.7,27.3,14.2,19.5,17.7,10,23.7,11.9
Putnam,30.9,30.7,37.3,38.9,37.9,37.8,42.5,31.8,19.2,35.5,30.5,38.4,36.3,30,27.1,29.6,29.3,22.7,23.9,21.9,12.9,12.8,16.7
Quitman,48.8,48.8,61.1,37.8,37.8,38.7,54.6,54.6,50.6,52.6,42.7,61.5,48.8,52.6,52.6,67.6,67.6,67.6,67.6,44.8,44.8,42.4,42.4
Rabun,26.1,39,29.5,34.1,23,29.8,35.5,25.6,27.2,30,32.3,26.1,21.9,34.5,26.8,26.4,22.3,12.2,14.1,17.3,19.9,15.7,14.7
Randolph,40.2,46.2,61.2,56.2,56.5,46.1,31.5,41.3,21.8,22.2,28.1,33.3,45.9,23.6,41.1,18.5,35.4,17.8,29.4,27.5,13.2,23.6,29
Richmond,44,45.1,38,37.9,38.9,37.7,37.8,36.9,33.9,35.6,33.3,31.6,37.4,40.3,35,32.3,28.1,28.5,22.8,21.5,21.9,17.3,18.5
Rockdale,27.1,24.3,16.6,19.8,20.9,23.1,23.7,24.3,22.3,23.6,20.6,22.5,23.8,21.3,19.8,20.4,16.5,16,13.4,10,12.3,9.4,9.1
Schley,41,33.3,65.9,73.3,46.4,46.9,49.3,20.8,41.4,36.7,22.9,41.8,23,24.2,12,21.4,25.4,32,32,11.9,11.9,11.9,11.9
Screven,39.4,42.5,43.3,52.4,45,33,26.9,30.1,26.6,33,30.6,24.2,39.1,30.5,41.4,32.2,39.3,33.5,24.8,19.6,23.2,22.7,20.2
Seminole,37.7,46.7,50.4,43.7,57.2,49.8,62.2,31.4,36.6,47.9,26.9,48.3,35.8,48.9,31.6,29.9,47,30.2,30.4,33.8,35.4,19.1,23.4
Spalding,48.1,45.2,47.8,48.9,56.7,46.1,46.7,44.2,35.5,43.9,42.5,39.8,43,41.2,37.4,39.4,37.5,34.8,28.8,26.9,24,20.8,22.7
Stephens,29.5,39.7,31.6,39,33,35.3,26.9,38.6,26,29.1,21.2,30.8,25.3,35.6,27.7,29.2,24.9,16.5,29.3,19,18.5,19,17.4
Stewart,47.2,30.9,50.7,58.7,32.6,66.7,27.8,18.6,55.6,34.5,26.2,36.8,43.8,71.9,53,39.6,56.4,39.8,27.5,51.7,29.1,29.1,29.1
Sumter,45.2,46.2,49.9,46.8,42.9,45.5,29.7,37.1,36.7,25,39.1,38,36.4,41.6,35,38.5,28.8,28.1,27.3,28.3,22,21.1,18.6
Talbot,27.8,44.1,34.9,51.5,34.4,41.9,50.7,46.8,32.8,23.4,26.1,14.1,23.1,35,37.4,43.4,39.3,32.3,25.2,17.1,17.1,16.3,16.3
Taliaferro,74.1,74.1,74.1,36.8,36.2,36.8,36.8,36.8,36.2,36.2,50.7,50.7,38.2,38.2,38.2,38.2,66.7,58.1,58.1,58.1,58.1,0,0
Tattnall,54.5,63.3,54.4,56.1,60.9,43.1,45.2,42.7,42.2,50,46.7,43,47.6,54,47.3,52.4,32.3,32.4,25.2,21.1,19.7,15,16.3
Taylor,52.6,55.6,47.2,41.1,46.2,46.7,42.4,23.1,36,16.6,31.3,23.9,17.7,39.4,40.8,34.8,32,24.8,27.5,14.4,17.4,14.5,28.8
Telfair,36.4,40.8,47.4,46.7,47.1,33.8,68.6,26.9,36.6,36.7,38.6,31.4,42.6,33.1,41.6,35.3,28.6,29.3,17.2,20,17.1,19.3,17.4
Terrell,63.8,62.1,61.5,67,58.3,55.1,43.9,54.8,40.4,40.3,38.5,42.6,67.1,49.1,59.1,50.7,52.2,34.7,39.4,34.4,26.5,21.2,14.8
Thomas,48.1,44.2,43.6,44.2,48,38.7,38.9,37.3,25.3,34.4,33.3,29.1,28.8,37.3,30.4,33.9,34.3,28.2,27.4,20.4,23.2,19.6,14.9
Tift,54.7,58,63.5,52.3,52.2,48.1,47.7,40.9,39.1,33.4,38.2,51.4,39.7,42.6,32.3,37.3,30.4,26.8,28,20.1,24.3,24.1,18.7
Toombs,48,61.9,56.9,55.4,40.8,47,53.8,45.1,41,40.3,37.1,43.9,43.9,40,46.5,39.5,41.2,38.5,25.4,28.9,28.1,26.4,21.7
Towns,10.2,13.8,24.3,16.5,17.9,27.6,11.8,20.5,11.5,11.5,20.4,18.8,10.4,13.9,14.7,10.2,24.5,10.1,17,6.6,16.3,10.3,12.9
Treutlen,33.3,37.7,46,43.9,41.5,58.2,49.7,46.8,37.4,46.7,20.3,35.6,22.8,35.9,28.2,22.2,22.5,33.5,28.1,23.8,14.3,11.5,20.6
Troup,43.6,52.2,47.5,40.5,43.7,45.9,40.9,40,35.1,34.1,34.4,38.5,30.9,38.2,36.3,32.9,27.1,27.7,26.1,23.7,21.6,20.5,20.1
Turner,63.2,36.6,54.7,47.8,38,43.7,60.4,56.1,45,41.4,40.9,33.3,41.7,56.5,42.5,42,34.5,37.2,20.7,21.7,33,16.8,22.7
Twiggs,20.6,35,39.5,33.1,29.2,42.8,27.3,34,23.3,19.9,27.3,38.9,42.5,28.6,35.7,22.1,28.9,17.7,21.6,10.9,30.7,17.2,24.8
Union,33.5,34,40,27,27,29.3,28.4,26.4,16.5,15.8,22.2,22.6,33.2,24.5,20.9,27.1,23.9,19.1,12.2,14.6,16.8,13.7,6.4
Upson,46.6,41.4,43.5,47.5,49.4,44.9,46,40.2,39,24.8,26.9,35,36.8,38.3,36,37.9,37.1,26.7,33.8,28.8,29.2,29.5,22.3
Walker,44.8,47.9,46.2,45.3,41.3,40.1,36.8,35,35.6,31.8,30.4,34.1,34.3,36.9,31.5,26.9,24.2,25.5,25.2,20.8,21.7,22.7,19.7
Walton,39.5,38.6,33.6,36.5,28.2,32.1,25.9,26.3,24.3,22,25.7,24.2,23.7,25.7,21.1,21.6,18.5,14.6,15.9,12.9,12.4,11,12.2
Ware,48.6,51.4,49.8,55.7,52.5,44.3,41.9,35.4,46.2,37,41.3,40.3,42.8,47.5,48.9,45.6,42.6,44.9,38.5,37.9,33.9,31.5,32.7
Warren,36.7,55,43.4,33.7,37.6,25.9,50.2,35.3,51.9,29.1,29.6,40.9,47.7,25.3,43.4,55.6,14.8,36.4,15.4,22.8,22.8,22.8,22.8
Washington,31.9,31.5,38,43.9,38.5,34.2,36,30.4,26.9,26.9,22.1,25.3,31.7,28.4,35.2,43.7,27.5,28.5,24.9,28.2,33.5,30.5,16
Wayne,43.5,49.7,40.3,33.7,44.2,39.4,41.2,36.3,41.2,38.3,32.7,54,46.8,52.4,57.9,42,34.1,40.4,30.9,25.5,26.2,19.1,23.2
Webster,41.7,41.7,62.9,55.6,55.6,55.6,55.6,55.6,60.8,60.8,29.2,27.8,48.8,48.8,48.8,48.8,0,0,0,27.9,27.9,0,0
Wheeler,34.6,44.7,43.3,35.6,49.4,32.8,42.5,25.4,34.9,35.6,44.2,52.1,40.3,45.1,45.5,35,38.6,22.3,17.3,23.1,28.3,19.8,19.8
White,26.5,29.9,34.9,29.3,32.7,30.9,28.3,24.9,30.1,26.8,23.8,24.2,22,18.6,22.8,15.1,18.6,13,9.8,14.6,10.3,14.1,15.3
Whitfield,51.8,52.4,50.6,48,50.3,57.1,53.9,55.8,48.6,44.2,46.9,46.2,43.1,42.4,33.6,27.9,28.1,23.6,23.2,20.7,20.7,19.2,17.9
Wilcox,47.3,66.4,48.3,57.5,52.3,35.3,22.3,55.6,27.3,27.5,26.4,30.8,41.9,40.6,34.4,42.1,19.9,34.8,21.3,46,34.5,13.7,36.4
Wilkes,42.2,33.7,42.6,47.6,35.7,39.6,31.8,35.9,21.9,32.5,35.6,29.9,29,25.4,20.6,30.2,25.3,16.4,26.7,10.5,22.9,19,17.6
Wilkinson,25.6,30.3,28.5,43.4,35.6,40.3,34.4,40.9,25,40.1,20.7,37.4,29.7,32.2,24.5,17.3,19.4,21.3,20.6,11.8,33.2,8.9,8.5
Worth,38.3,41.8,36,37.2,35.9,39.7,37.6,33.7,28.2,30.4,36.1,26.5,24.2,34.9,33.6,31.9,25,31.7,24.4,19.3,29.4,17.3,19.7
