County,2011,2012,2013,2014,2015,2016
Appling,161,164,171,206,234,228

Atkinson,87,67,82,104,80,87

Bacon,96,104,110,83,139,104

Baker,12,18,10,14,20,18

Baldwin,264,218,226,227,260,272

Banks,179,149,150,170,186,156

Barrow,578,598,686,655,699,698

Bartow,698,716,675,732,825,855

Ben Hill,137,140,147,135,162,148

Berrien,166,167,148,141,200,170

Bibb,977,965,1125,1022,1148,1190

Bleckley,148,150,140,139,143,162

Brantley,173,145,157,177,203,215

Brooks,121,115,95,109,115,105

Bryan,439,418,443,454,512,524

Bulloch,439,497,459,503,577,613

Burke,248,213,240,210,278,211

Butts,207,175,175,177,216,209

Calhoun,26,29,33,29,29,52

Camden,591,624,568,588,586,574

Candler,105,105,110,101,120,129

Carroll,753,797,727,792,834,879

Catoosa,612,674,686,660,711,735

Charlton,110,84,84,80,73,91

Chatham,1505,1391,1546,1397,1700,1815

Chattahoochee,74,62,63,81,85,84

Chattooga,114,151,127,141,171,177

Cherokee,1979,1998,2156,2250,2390,2522

Clarke,568,545,533,487,602,554

Clay,-,-,-,-,-,-

Clayton,2167,2153,2091,2200,2505,2479

Clinch,65,66,80,68,78,75

Cobb,6632,6695,6824,6707,6932,7253

Coffee,344,351,375,354,406,437

Colquitt,472,463,476,467,529,505

Columbia,1412,1338,1405,1530,1574,1656

Cook,164,169,182,188,197,190

Coweta,1277,1366,1355,1417,1409,1459

Crawford,79,89,101,79,78,90

Crisp,175,193,210,203,227,231

Dade,151,133,130,123,144,148

Dawson,215,210,190,237,247,245

Decatur,339,287,273,286,313,306

Dekalb,4791,4699,4443,4514,5046,5014

Dodge,206,173,177,160,197,186

Dooly,63,56,67,69,64,67

Dougherty,643,684,672,685,772,860

Douglas,1453,1482,1422,1505,1725,1747

Early,133,114,136,148,135,140

Echols,41,44,38,33,58,59

Effingham,712,680,659,655,701,771

Elbert,201,171,159,164,161,146

Emanuel,213,223,197,219,255,195

Evans,75,90,69,72,88,84

Fannin,166,177,170,168,175,166

Fayette,1750,1643,1595,1600,1599,1538

Floyd,539,557,565,558,576,618

Forsyth,1854,2005,2090,2273,2570,2652

Franklin,216,201,224,212,197,231

Fulton,5396,5233,5483,5610,6061,6213

Gilmer,248,198,222,222,247,236

Glascock,36,47,25,45,41,47

Glynn,752,669,672,693,719,702

Gordon,390,369,430,341,395,454

Grady,174,182,181,206,237,261

Greene,75,82,78,82,115,110

Gwinnett,8520,8581,9009,9224,9801,10303

Habersham,292,307,336,327,345,381

Hall,1323,1330,1400,1461,1636,1604

Hancock,81,77,113,72,69,73

Haralson,183,169,168,182,200,232

Harris,357,345,345,341,363,391

Hart,200,149,196,208,218,194

Heard,143,127,114,126,120,147

Henry,2549,2471,2535,2531,2886,3004

Houston,1505,1703,1600,1562,1678,1718

Irwin,62,79,80,67,94,85

Jackson,401,420,405,369,423,404

Jasper,108,109,103,95,120,123

Jeff Davis,150,134,132,126,161,160

Jefferson,184,159,159,129,178,191

Jenkins,82,72,71,74,76,75

Johnson,62,52,51,70,72,70

Jones,330,305,278,293,298,340

Lamar,139,155,142,140,156,162

Lanier,61,93,68,68,77,66

Laurens,327,356,359,345,396,378

Lee,352,329,359,301,399,398

Liberty,545,523,540,511,550,539

Lincoln,84,82,74,77,72,77

Long,116,100,135,125,143,170

Lowndes,553,612,591,604,601,611

Lumpkin,180,206,195,198,212,219

Macon,83,54,89,91,100,99

Madison,298,273,261,275,286,270

Marion,103,77,65,85,96,88

McDuffie,242,201,202,191,225,231

McIntosh,120,112,91,95,107,84

Meriwether,144,158,170,162,178,196

Miller,65,53,47,63,60,63

Mitchell,124,80,102,98,104,136

Monroe,214,245,259,223,253,265

Montgomery,58,60,46,76,107,118

Morgan,229,210,202,220,222,209

Murray,368,397,404,403,410,500

Muscogee,1876,1802,1797,1774,1942,1902

Newton,980,913,965,958,1090,1154

Oconee,456,437,494,444,524,496

Oglethorpe,134,131,134,122,143,143

Paulding,1629,1571,1647,1641,1718,1753

Peach,190,213,178,188,193,191

Pickens,218,248,224,234,249,261

Pierce,187,210,201,221,232,226

Pike,204,230,192,215,221,243

Polk,335,290,333,347,398,397

Pulaski,76,85,69,68,79,87

Putnam,128,135,136,145,121,146

Quitman,11,-,15,14,14,13

Rabun,160,143,150,121,156,145

Randolph,90,39,38,69,68,76

Richmond,1448,1430,1369,1286,1558,1615

Rockdale,946,877,983,947,1060,1011

Schley,76,76,70,72,87,86

Screven,186,153,161,132,156,145

Seminole,76,79,67,90,104,92

Spalding,477,444,449,404,469,503

Stephens,223,193,246,197,229,226

Stewart,28,26,20,19,26,25

Sumter,218,201,191,180,250,280

Talbot,30,20,25,18,27,29

Taliaferro,-,-,-,-,14,14

Tattnall,168,142,153,137,198,175

Taylor,74,82,74,95,87,81

Telfair,89,70,97,97,84,88

Terrell,72,69,60,63,91,87

Thomas,282,325,317,292,304,350

Tift,383,385,390,378,470,482

Toombs,158,110,121,149,161,141

Towns,76,56,65,71,79,64

Treutlen,61,50,45,55,63,69

Troup,665,596,674,636,655,647

Turner,84,75,94,74,75,93

Twiggs,62,34,61,27,63,52

Union,149,128,155,127,179,165

Upson,276,274,220,224,251,272

Walker,438,476,426,495,507,539

Walton,716,699,762,726,774,750

Ware,287,289,314,297,304,321

Warren,38,45,39,33,33,34

Washington,210,225,175,172,213,184

Wayne,290,261,261,253,266,297

Webster,20,26,17,14,32,23

Wheeler,49,45,57,50,67,40

White,217,237,255,229,231,253

Whitfield,624,633,663,641,715,709

Wilcox,65,65,64,52,84,77

Wilkes,80,70,70,80,95,88

Wilkinson,78,68,95,82,93,97

Worth,199,185,154,189,177,181
